,comments,star,time,user
0,如果可以，我愿意给它6星。,5,2007-12-03 10:19:59,无非
1,我不敢看第十季,4,2008-06-18 00:28:08,Triangleye
2,每次看都会很开心.,4,2011-07-30 19:54:08,林||我们谈什么都像谈死！
3,I'll be there for you,5,2009-10-21 02:39:20,扭腰客
4,暑假把两百多集全看完了：）,4,2007-09-11 19:16:12,小波福娃
5,我喜欢Chandler，我喜欢Phoebe，喜欢Rachel，喜欢Joey，喜欢Monica，喜欢Ross。。。喜欢有老友记陪伴的日子,5,2009-04-22 19:28:51,shu
6,他们从友情最终走向了爱情，同时相互之间又维系着类似亲情的东西，好奇妙的六人行~~,5,2009-04-24 20:16:28,战国客
7,如果给我这样的十年～～～,5,2007-03-31 15:01:36,JulyChan
8,百看不厌,5,2005-10-28 10:50:11,犀牛
9,太好看，太真实，无言的感动。,5,2006-02-01 21:44:22,薇羅尼卡
10,十年。,5,2007-02-10 11:10:09,眠去
11,练习英文的绝佳选择，令人称羡的友情，因为他们六人，相对于彼此没有变化，一起改变,4,2006-10-31 20:08:50,北漠
12,我崇拜编剧。MONICA好美，CHARDEL好可爱！,5,2008-07-12 21:55:50,飞天PP猪
13,第一次看的时候最喜欢瑞秋和罗恩，后来又喜欢莫妮卡和钱德勒，前段时间发现很喜欢菲比和乔伊。其实我喜欢每一个人。,5,2018-01-20 03:58:19,Stark实习生
14,好到失语,5,2011-10-30 23:18:51,影志
15,Friends Forever!,5,2006-03-05 02:19:30,dionysus
16,永恒的经典，每当我迷茫的时候，都会在看一遍。,5,2018-01-12 14:44:21,莫亚
17,I love this show！,5,2008-01-07 18:26:11,沙漠里的一条腿
18,一个高峰,5,2007-09-14 16:36:34,大魔王?
19,大学英语老师拿来给我们当口语学习视频的???,5,2018-03-05 17:44:41,春风不解意
